OnlineSecurity,Contract,Dependents,Partner
Yes,Month-to-month,No,No
No,One year,No,Yes
No,One year,No,No
Yes,One year,Yes,Yes
No internet service,One year,No,Yes
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
Yes,Month-to-month,Yes,No
No,Month-to-month,Yes,No
No,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No,One year,No,Yes
No,Month-to-month,No,No
Yes,One year,Yes,Yes
No,Month-to-month,No,No
Yes,Month-to-month,Yes,Yes
No internet service,Two year,Yes,Yes
No,One year,Yes,Yes
Yes,Two year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,Yes,No
No,Month-to-month,No,No
No,Two year,No,Yes
Yes,Month-to-month,No,Yes
No internet service,Month-to-month,No,No
No,Month-to-month,No,No
Yes,One year,No,No
Yes,Two year,Yes,Yes
No,One year,No,Yes
No,One year,No,No
Yes,One year,No,No
Yes,Two year,Yes,Yes
Yes,Month-to-month,No,Yes
Yes,One year,No,No
No internet service,Two year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,Yes
No,Month-to-month,Yes,Yes
No,Month-to-month,Yes,Yes
No,Month-to-month,Yes,Yes
Yes,Month-to-month,Yes,No
No,Month-to-month,No,Yes
Yes,Two year,No,Yes
No,Month-to-month,Yes,Yes
No,Month-to-month,Yes,Yes
Yes,Two year,No,No
No internet service,Two year,No,Yes
Yes,Month-to-month,No,Yes
No internet service,Month-to-month,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
Yes,Two year,No,Yes
No,Month-to-month,No,No
No,One year,Yes,Yes
No,Month-to-month,No,No
Yes,Two year,Yes,Yes
Yes,Two year,No,Yes
Yes,Two year,Yes,No
Yes,One year,No,Yes
No,Month-to-month,No,Yes
No,One year,Yes,Yes
No,One year,No,No
No internet service,One year,Yes,Yes
No internet service,Month-to-month,Yes,Yes
No internet service,Two year,Yes,Yes
Yes,One year,No,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,Yes
Yes,Two year,Yes,Yes
Yes,One year,No,No
No,Month-to-month,Yes,Yes
No,Two year,Yes,Yes
Yes,One year,No,Yes
No internet service,Month-to-month,No,No
No,Month-to-month,No,No
Yes,Two year,No,Yes
No,Month-to-month,Yes,Yes
Yes,One year,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
Yes,Two year,No,Yes
Yes,Two year,Yes,No
No,Month-to-month,No,No
Yes,Two year,No,No
Yes,Two year,No,Yes
Yes,One year,Yes,No
Yes,Two year,Yes,Yes
Yes,Two year,Yes,Yes
No,One year,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,Yes,No
Yes,Month-to-month,No,No
Yes,One year,No,Yes
No internet service,Two year,No,Yes
No internet service,Month-to-month,No,No
No,Month-to-month,No,No
Yes,Month-to-month,Yes,Yes
No internet service,One year,Yes,No
No internet service,Two year,Yes,Yes
No internet service,Two year,Yes,Yes
No,Month-to-month,No,No
No internet service,Two year,Yes,No
Yes,Two year,Yes,Yes
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
No internet service,Month-to-month,No,No
No,Month-to-month,Yes,Yes
Yes,One year,No,No
No,Month-to-month,No,No
No,Two year,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
No internet service,One year,No,No
No,Month-to-month,No,No
Yes,Two year,Yes,Yes
Yes,One year,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
Yes,One year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No internet service,Month-to-month,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No,One year,No,No
No,Two year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No internet service,One year,Yes,No
No,Month-to-month,No,No
No internet service,Month-to-month,No,No
No internet service,One year,No,No
No,Month-to-month,No,No
No internet service,Two year,No,No
No internet service,Two year,Yes,Yes
No,Month-to-month,Yes,Yes
Yes,One year,No,No
Yes,One year,Yes,No
Yes,Two year,Yes,Yes
Yes,Two year,Yes,Yes
No internet service,Two year,No,No
No,Month-to-month,No,No
Yes,Two year,No,Yes
No,Month-to-month,No,Yes
No,One year,No,Yes
No,Month-to-month,No,No
No,One year,No,No
No,Month-to-month,No,No
No,One year,Yes,Yes
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
Yes,Two year,No,Yes
Yes,Two year,No,Yes
No internet service,Two year,No,No
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
Yes,Two year,No,Yes
No,Month-to-month,No,No
No,Two year,No,Yes
Yes,Month-to-month,No,No
No,Month-to-month,No,Yes
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
No internet service,One year,No,No
No,Month-to-month,No,No
Yes,One year,No,No
Yes,Month-to-month,Yes,No
No,One year,Yes,Yes
Yes,Month-to-month,Yes,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No,Month-to-month,Yes,Yes
Yes,Two year,No,Yes
No internet service,Two year,Yes,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No,Two year,Yes,Yes
No internet service,Month-to-month,No,No
No,Month-to-month,No,No
Yes,One year,Yes,Yes
No,Two year,Yes,Yes
No,Month-to-month,No,No
Yes,One year,No,Yes
Yes,One year,Yes,Yes
Yes,Two year,No,Yes
No,Month-to-month,No,Yes
No internet service,Month-to-month,No,No
No,Month-to-month,No,No
Yes,Month-to-month,Yes,Yes
Yes,Month-to-month,No,No
No,Month-to-month,Yes,Yes
No internet service,Two year,No,Yes
Yes,Two year,No,No
No,One year,No,Yes
No,Month-to-month,Yes,Yes
No internet service,Two year,No,No
No,One year,No,No
No internet service,One year,Yes,No
Yes,One year,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Two year,No,Yes
No,Month-to-month,No,No
Yes,Month-to-month,Yes,Yes
No,Month-to-month,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,Yes,No
No,Month-to-month,No,No
Yes,Two year,Yes,Yes
Yes,Two year,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,One year,Yes,Yes
No,Month-to-month,No,Yes
No,Two year,Yes,Yes
Yes,Month-to-month,No,No
Yes,Two year,No,No
No internet service,One year,Yes,No
No,One year,No,Yes
No,Month-to-month,Yes,No
Yes,Month-to-month,No,No
Yes,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No,Month-to-month,No,Yes
Yes,Month-to-month,No,No
No,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No,One year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No internet service,One year,Yes,Yes
No,One year,No,Yes
No,One year,Yes,Yes
No internet service,Month-to-month,No,No
Yes,One year,No,No
No internet service,Two year,No,Yes
No,Month-to-month,Yes,No
No,Month-to-month,No,No
Yes,Two year,No,Yes
No,Month-to-month,Yes,Yes
Yes,Two year,No,No
Yes,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No,Month-to-month,No,No
Yes,One year,Yes,Yes
Yes,Month-to-month,Yes,Yes
Yes,Month-to-month,No,Yes
Yes,One year,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
Yes,Two year,Yes,Yes
No internet service,One year,Yes,Yes
No internet service,One year,Yes,Yes
No,One year,No,Yes
Yes,One year,No,Yes
No internet service,Month-to-month,No,No
No,One year,No,No
Yes,One year,Yes,Yes
No internet service,Two year,No,No
No,Month-to-month,No,No
Yes,Month-to-month,Yes,No
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
Yes,Two year,No,Yes
No,Month-to-month,No,No
No internet service,One year,Yes,Yes
No internet service,Month-to-month,Yes,Yes
No,Two year,No,No
No,Two year,No,Yes
Yes,Month-to-month,No,No
Yes,Month-to-month,No,Yes
No,Month-to-month,No,Yes
Yes,Month-to-month,No,No
No,Month-to-month,No,No
No internet service,Two year,No,Yes
No,Month-to-month,No,No
No internet service,One year,No,No
No internet service,Month-to-month,No,No
No internet service,One year,Yes,Yes
No,Month-to-month,No,No
No internet service,Two year,No,No
No internet service,Two year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No internet service,Month-to-month,No,No
No,Month-to-month,No,Yes
No internet service,Month-to-month,No,No
Yes,Two year,No,No
No,Month-to-month,No,Yes
No,Two year,No,Yes
Yes,One year,No,No
Yes,Month-to-month,No,Yes
No,Month-to-month,No,Yes
No,Month-to-month,Yes,Yes
No,One year,No,Yes
Yes,Two year,No,Yes
No,Month-to-month,No,No
No internet service,Month-to-month,No,No
Yes,One year,Yes,Yes
No,Month-to-month,No,No
No internet service,One year,No,No
No internet service,Two year,Yes,Yes
Yes,Two year,Yes,Yes
No internet service,One year,No,No
Yes,Two year,Yes,Yes
No internet service,Two year,No,No
No,Month-to-month,No,Yes
No,Month-to-month,No,Yes
No internet service,Month-to-month,No,No
No internet service,One year,No,No
No,One year,No,No
No,Month-to-month,No,No
No,Two year,No,No
No internet service,Month-to-month,Yes,Yes
No,Month-to-month,No,No
No internet service,Two year,No,No
Yes,One year,No,Yes
No,Month-to-month,Yes,Yes
No internet service,Month-to-month,No,No
No internet service,Two year,No,No
No,Month-to-month,No,No
No internet service,One year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,Yes,Yes
No,One year,Yes,Yes
Yes,Two year,No,No
Yes,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,Yes,Yes
No,One year,Yes,No
Yes,Month-to-month,No,No
Yes,One year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
Yes,One year,No,No
Yes,Two year,Yes,Yes
Yes,One year,Yes,Yes
No internet service,Month-to-month,No,No
Yes,Month-to-month,Yes,Yes
No internet service,Month-to-month,No,No
No internet service,Month-to-month,No,No
No,One year,No,Yes
No,Two year,No,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No internet service,Month-to-month,Yes,No
Yes,Month-to-month,No,No
No,Month-to-month,No,Yes
Yes,Month-to-month,No,No
No internet service,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No internet service,Two year,No,No
No internet service,Month-to-month,Yes,No
No internet service,Month-to-month,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,Yes
No,One year,Yes,Yes
No internet service,Month-to-month,No,No
No internet service,Month-to-month,No,No
No,Month-to-month,No,No
No internet service,One year,Yes,No
No internet service,One year,No,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
Yes,One year,No,Yes
No internet service,Month-to-month,Yes,No
No,Month-to-month,No,Yes
No,One year,Yes,Yes
No internet service,Month-to-month,No,Yes
Yes,One year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
Yes,Two year,No,Yes
No internet service,Two year,No,No
Yes,Month-to-month,No,No
No,Month-to-month,No,Yes
No,Month-to-month,No,Yes
Yes,Two year,No,No
No,One year,Yes,No
No internet service,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
Yes,One year,No,Yes
No internet service,Month-to-month,No,Yes
No,Month-to-month,No,Yes
No,One year,No,Yes
No internet service,Month-to-month,Yes,Yes
No internet service,Two year,No,Yes
Yes,One year,No,Yes
No internet service,One year,No,No
No,Two year,Yes,Yes
No,Month-to-month,No,No
No internet service,Month-to-month,Yes,Yes
No,One year,No,Yes
Yes,Month-to-month,Yes,No
No,Month-to-month,No,No
No internet service,Month-to-month,No,Yes
No,One year,No,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
Yes,One year,No,Yes
No internet service,Two year,Yes,Yes
Yes,Month-to-month,No,No
Yes,One year,No,No
No internet service,Two year,Yes,Yes
No,Month-to-month,No,No
Yes,Two year,No,No
No internet service,One year,No,No
No,Month-to-month,Yes,Yes
No,Two year,No,Yes
No,One year,No,Yes
Yes,Two year,No,Yes
Yes,Month-to-month,No,Yes
No,One year,No,Yes
No,Month-to-month,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No,Month-to-month,Yes,Yes
Yes,Month-to-month,Yes,Yes
No internet service,Two year,No,No
No,Month-to-month,No,Yes
No internet service,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,Yes,Yes
No internet service,One year,No,No
No,Two year,No,Yes
No,Month-to-month,No,Yes
No internet service,Month-to-month,No,No
Yes,Two year,No,No
No,Month-to-month,Yes,Yes
Yes,Month-to-month,No,No
No,Month-to-month,Yes,No
Yes,Two year,No,Yes
No,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No,One year,No,No
Yes,Two year,No,No
Yes,Month-to-month,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No internet service,Two year,Yes,Yes
No,Two year,Yes,Yes
No,Month-to-month,No,No
Yes,Month-to-month,Yes,Yes
No internet service,Two year,No,No
No internet service,Month-to-month,No,No
Yes,Month-to-month,No,No
No internet service,Two year,Yes,Yes
Yes,Two year,Yes,Yes
No internet service,Two year,Yes,Yes
No internet service,Month-to-month,No,No
Yes,Month-to-month,Yes,Yes
No internet service,Month-to-month,No,No
No,Two year,No,Yes
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
Yes,Two year,No,Yes
No internet service,Two year,No,No
No,One year,No,Yes
No internet service,Two year,Yes,Yes
No,Month-to-month,No,No
Yes,One year,No,Yes
No,Month-to-month,No,No
No,One year,No,No
No,Month-to-month,No,Yes
No internet service,Two year,No,No
No internet service,Two year,Yes,Yes
No internet service,Month-to-month,No,No
No internet service,Month-to-month,Yes,Yes
Yes,Month-to-month,No,Yes
No internet service,Two year,No,No
No internet service,Month-to-month,No,Yes
No internet service,One year,No,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
Yes,Two year,Yes,Yes
Yes,Month-to-month,No,Yes
No,Month-to-month,No,No
Yes,Two year,No,No
Yes,One year,No,Yes
No,One year,No,Yes
No,Two year,No,Yes
No,One year,No,Yes
Yes,Two year,Yes,Yes
Yes,One year,No,Yes
No internet service,Month-to-month,No,No
No,Two year,Yes,Yes
Yes,Month-to-month,No,No
No,Month-to-month,No,No
No,Two year,Yes,Yes
Yes,Two year,No,Yes
Yes,Two year,No,Yes
No internet service,Month-to-month,No,No
Yes,One year,No,No
No internet service,One year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
Yes,Month-to-month,No,Yes
No internet service,Two year,Yes,Yes
Yes,Two year,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No internet service,Two year,No,No
No,Month-to-month,Yes,Yes
No,Month-to-month,No,Yes
Yes,Month-to-month,No,No
No,Month-to-month,No,No
No,Two year,No,Yes
Yes,Month-to-month,No,No
Yes,Two year,Yes,Yes
Yes,Month-to-month,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No internet service,Two year,Yes,Yes
Yes,Month-to-month,No,Yes
No internet service,Month-to-month,Yes,No
No internet service,Two year,No,No
No,Two year,No,Yes
No,Month-to-month,No,No
No,Month-to-month,Yes,Yes
No,Two year,No,Yes
No,Month-to-month,Yes,Yes
Yes,Two year,Yes,Yes
No internet service,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,Yes,No
No,Two year,No,No
Yes,Two year,Yes,Yes
Yes,One year,No,Yes
No internet service,One year,No,Yes
No,Month-to-month,No,No
No internet service,Month-to-month,No,No
No,Two year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,Yes
No,Month-to-month,Yes,Yes
No internet service,Two year,Yes,Yes
Yes,One year,Yes,Yes
No internet service,One year,Yes,No
No,Month-to-month,No,No
No,Month-to-month,Yes,Yes
No,Month-to-month,No,Yes
Yes,Month-to-month,No,Yes
No internet service,Two year,Yes,Yes
No internet service,One year,No,No
No,Month-to-month,No,No
Yes,Month-to-month,Yes,Yes
No,Month-to-month,No,Yes
Yes,One year,Yes,Yes
No,One year,No,No
Yes,Month-to-month,No,No
No,One year,No,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
No,One year,No,No
Yes,Two year,Yes,Yes
No internet service,Two year,No,Yes
No,Month-to-month,No,No
Yes,One year,No,No
No,Month-to-month,No,Yes
Yes,One year,No,Yes
No,Month-to-month,No,No
Yes,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,Yes,Yes
No internet service,One year,No,No
Yes,Two year,No,Yes
No,Month-to-month,No,No
No internet service,Two year,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No internet service,Two year,No,Yes
No internet service,Month-to-month,No,Yes
No internet service,Month-to-month,No,No
No internet service,Two year,No,Yes
No,Month-to-month,No,No
No,One year,Yes,Yes
No internet service,Month-to-month,Yes,Yes
Yes,Month-to-month,No,No
No,Month-to-month,Yes,No
Yes,Month-to-month,No,No
No,Month-to-month,No,No
Yes,Two year,No,Yes
No,Month-to-month,No,No
Yes,One year,No,No
No internet service,One year,No,No
Yes,Two year,No,Yes
No,Month-to-month,No,No
Yes,One year,No,No
No internet service,Two year,Yes,Yes
No internet service,Month-to-month,No,No
No,One year,No,Yes
No internet service,One year,Yes,Yes
No internet service,Two year,Yes,Yes
Yes,Month-to-month,Yes,No
No,Month-to-month,Yes,Yes
No,Month-to-month,No,Yes
Yes,Two year,No,No
No,One year,No,No
Yes,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,Yes,Yes
No internet service,Two year,No,Yes
No internet service,Two year,Yes,Yes
No internet service,One year,Yes,Yes
No,Month-to-month,No,No
Yes,Month-to-month,Yes,Yes
No,Month-to-month,Yes,Yes
No,Month-to-month,No,Yes
Yes,Two year,No,Yes
No,One year,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No internet service,Month-to-month,No,No
No,One year,No,No
No,Month-to-month,No,No
Yes,Month-to-month,No,Yes
No,Month-to-month,No,No
Yes,One year,No,No
Yes,Month-to-month,Yes,Yes
No internet service,Two year,No,No
Yes,Two year,No,No
No internet service,Month-to-month,No,No
No internet service,Two year,Yes,Yes
Yes,Two year,No,No
No,Month-to-month,No,No
No,One year,No,No
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No,One year,No,No
Yes,Month-to-month,No,No
No internet service,Two year,No,No
No internet service,Two year,Yes,Yes
Yes,Month-to-month,No,Yes
Yes,Two year,No,No
No,Month-to-month,No,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,Yes,Yes
Yes,Month-to-month,No,No
No,One year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No,Month-to-month,No,No
Yes,Month-to-month,No,No
No,Month-to-month,Yes,Yes
Yes,One year,No,No
No internet service,Two year,Yes,Yes
Yes,Two year,No,Yes
No,Month-to-month,No,No
No,Month-to-month,Yes,No
No,Month-to-month,No,No
No internet service,Month-to-month,Yes,No
Yes,Month-to-month,No,No
Yes,Month-to-month,No,No
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No,Month-to-month,No,Yes
No internet service,Two year,Yes,Yes
No,One year,No,No
No,Month-to-month,No,No
Yes,Month-to-month,No,Yes
No,One year,Yes,Yes
Yes,Month-to-month,Yes,Yes
Yes,One year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No,One year,No,No
Yes,Month-to-month,No,No
Yes,Month-to-month,No,Yes
No internet service,Two year,Yes,Yes
No,Month-to-month,No,No
No,Two year,No,No
No internet service,Month-to-month,Yes,Yes
No,Month-to-month,Yes,Yes
No,Month-to-month,No,No
No internet service,Two year,No,No
Yes,Month-to-month,No,No
No internet service,Two year,No,No
Yes,One year,No,No
No internet service,Two year,Yes,Yes
No internet service,One year,No,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No,One year,No,Yes
No,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No internet service,Two year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,Yes,No
Yes,Month-to-month,No,No
Yes,One year,Yes,Yes
No,Month-to-month,No,No
Yes,Month-to-month,No,No
Yes,Two year,Yes,Yes
No internet service,Two year,No,No
No,Month-to-month,No,No
No internet service,Two year,No,Yes
Yes,Two year,No,No
No internet service,One year,Yes,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
Yes,Two year,No,Yes
Yes,One year,Yes,Yes
Yes,One year,No,No
No,Month-to-month,Yes,Yes
No,One year,Yes,No
No internet service,One year,Yes,Yes
No,Month-to-month,No,Yes
No internet service,Two year,Yes,Yes
No internet service,Month-to-month,Yes,Yes
No,Month-to-month,Yes,Yes
No,One year,No,Yes
No,One year,No,No
Yes,Month-to-month,No,No
No,One year,No,No
No,Month-to-month,No,No
No internet service,Two year,No,No
No,One year,No,No
Yes,One year,Yes,Yes
No internet service,Month-to-month,Yes,Yes
No internet service,Month-to-month,No,No
No internet service,Two year,No,No
No,Month-to-month,No,Yes
No,Month-to-month,Yes,No
No internet service,Month-to-month,No,No
No internet service,Two year,Yes,Yes
Yes,Month-to-month,No,Yes
Yes,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No internet service,One year,No,No
No,One year,No,Yes
Yes,One year,No,Yes
Yes,Month-to-month,No,No
Yes,Two year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No internet service,Month-to-month,No,No
No internet service,One year,No,Yes
No,Month-to-month,No,No
No,Month-to-month,Yes,No
No internet service,One year,Yes,Yes
No,Month-to-month,No,No
Yes,Month-to-month,No,Yes
No,Month-to-month,No,Yes
No internet service,Two year,Yes,Yes
Yes,Month-to-month,No,Yes
No internet service,Month-to-month,No,No
Yes,Two year,Yes,Yes
No internet service,Two year,Yes,No
No,Month-to-month,Yes,Yes
No,Month-to-month,No,No
Yes,One year,No,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
Yes,One year,No,No
No,Month-to-month,No,No
No,Month-to-month,Yes,No
No,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No,Month-to-month,No,No
No internet service,Two year,No,No
No,Month-to-month,No,No
Yes,One year,No,No
No,Month-to-month,Yes,No
No,One year,Yes,Yes
No,Two year,Yes,Yes
Yes,Two year,Yes,Yes
No internet service,Month-to-month,Yes,Yes
No internet service,One year,Yes,Yes
No,Month-to-month,No,Yes
No,One year,No,No
Yes,One year,Yes,Yes
Yes,Two year,No,Yes
Yes,One year,No,Yes
No,Month-to-month,No,Yes
Yes,Month-to-month,No,No
Yes,Month-to-month,No,No
No,Month-to-month,No,Yes
No internet service,Two year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
Yes,Two year,No,Yes
No,One year,Yes,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
Yes,Two year,Yes,Yes
No,Month-to-month,No,Yes
Yes,Two year,No,Yes
No,Two year,No,Yes
No internet service,Two year,No,No
No internet service,Month-to-month,No,No
No,Month-to-month,No,No
Yes,Two year,Yes,Yes
Yes,One year,Yes,Yes
No internet service,Two year,Yes,Yes
No,Month-to-month,No,Yes
Yes,Two year,No,No
Yes,Two year,No,Yes
No internet service,Month-to-month,No,No
No internet service,One year,No,No
Yes,One year,No,No
Yes,Month-to-month,No,No
No internet service,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No,One year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
Yes,Two year,Yes,Yes
No,One year,No,No
No internet service,Two year,No,No
Yes,Two year,No,No
No,One year,No,No
No,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No internet service,One year,No,No
Yes,One year,No,No
Yes,One year,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
Yes,One year,No,Yes
No,Month-to-month,No,Yes
Yes,Month-to-month,No,Yes
Yes,Two year,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
Yes,Two year,Yes,Yes
No internet service,Two year,Yes,Yes
Yes,Month-to-month,No,No
Yes,Month-to-month,No,Yes
No internet service,Month-to-month,Yes,No
No internet service,Month-to-month,No,No
Yes,Month-to-month,No,Yes
No,Month-to-month,No,Yes
No internet service,One year,Yes,Yes
Yes,Month-to-month,No,Yes
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
Yes,One year,No,Yes
Yes,Two year,No,No
No,One year,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No,Two year,Yes,Yes
No internet service,Month-to-month,No,Yes
Yes,Month-to-month,No,No
No internet service,Month-to-month,No,No
No internet service,Month-to-month,No,No
No internet service,One year,Yes,No
Yes,One year,No,No
Yes,Month-to-month,No,No
No,Two year,No,Yes
No,Month-to-month,No,Yes
Yes,Two year,No,Yes
No,Month-to-month,No,No
No,Month-to-month,Yes,Yes
Yes,Month-to-month,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
No internet service,Month-to-month,No,No
No,Month-to-month,Yes,Yes
No,Month-to-month,No,Yes
Yes,Month-to-month,No,No
No,Month-to-month,No,No
Yes,One year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
No internet service,Two year,No,Yes
No,Month-to-month,No,No
Yes,Two year,No,No
No,One year,Yes,Yes
Yes,Two year,Yes,Yes
No,One year,Yes,Yes
No,Month-to-month,No,No
Yes,One year,No,Yes
Yes,One year,No,Yes
No internet service,Two year,Yes,Yes
No internet service,Month-to-month,No,No
Yes,Two year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,No
No,Month-to-month,No,No
No,One year,Yes,No
No,One year,Yes,Yes
No,Month-to-month,No,No
Yes,Two year,No,No
No,Month-to-month,No,No
No internet service,Two year,Yes,Yes
No,Month-to-month,No,No
No internet service,Two year,Yes,Yes
Yes,Month-to-month,No,No
Yes,One year,Yes,Yes
Yes,One year,Yes,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No,Month-to-month,No,Yes
Yes,Month-to-month,No,No
Yes,Two year,No,Yes
No,One year,No,No
No,One year,Yes,No
No,Month-to-month,Yes,Yes
No,One year,No,No
No internet service,Two year,Yes,Yes
No internet service,Two year,No,No
No,Month-to-month,No,No
Yes,Two year,Yes,Yes
Yes,One year,Yes,Yes
No,One year,Yes,Yes
No,Month-to-month,No,No
Yes,Two year,Yes,Yes
No internet service,One year,No,No
No,Month-to-month,No,No
No,Month-to-month,Yes,Yes
No,One year,Yes,Yes
Yes,Two year,Yes,Yes
No internet service,Two year,No,No
No,Month-to-month,No,No
Yes,One year,Yes,No
No,Two year,No,Yes
No internet service,Month-to-month,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No internet service,Month-to-month,No,No
No internet service,Two year,No,No
Yes,Month-to-month,Yes,Yes
No,Month-to-month,No,Yes
No,Month-to-month,No,No
No,Month-to-month,No,Yes
No,Two year,No,Yes
No,Month-to-month,Yes,No
